@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
1,'2018/02/15 20:31:25:483',1,0.23,0
2,'2018/02/15 20:31:33:820',1,0.22,0
3,'2018/02/15 20:31:42:365',1,0.31,0
4,'2018/02/15 20:31:50:694',1,0.34,0
5,'2018/02/15 20:31:58:712',1,0.39,0
6,'2018/02/15 20:32:17:382',1,0.44,0
7,'2018/02/15 20:32:31:713',1,0.25,0
8,'2018/02/15 20:32:39:485',1,0.27,0
9,'2018/02/15 20:32:47:189',1,0.23,0
10,'2018/02/15 20:32:55:464',2,0.19,0
11,'2018/02/15 20:33:27:678',3,0.94,1
12,'2018/02/15 20:33:34:301',3,0.96,1
13,'2018/02/15 20:33:41:539',3,1,1
14,'2018/02/15 20:33:48:122',3,1,1
15,'2018/02/15 20:33:54:567',3,0.98,1
16,'2018/02/15 20:34:00:652',3,0.98,1
17,'2018/02/15 20:34:20:661',3,0.93,1
18,'2018/02/15 20:34:26:227',3,0.92,1
19,'2018/02/15 20:34:31:702',3,0.95,1
20,'2018/02/15 20:34:37:570',3,0.93,1
21,'2018/02/15 20:34:51:838',3,0.83,1
22,'2018/02/15 20:34:59:372',3,0.8,1
